article_key,english_source,spanish_source,guide_stub,english_url,spanish_url,english_http_2026_09_25,spanish_http_2026_09_25,publication,english_original_sha256,spanish_original_sha256
analytics-reporting-attribution/analytics-overview.md,_i18n/en/analytics-reporting-attribution/analytics-overview.md,_i18n/es/analytics-reporting-attribution/analytics-overview.md,_analytics-reporting-attribution/analytics-overview.md,https://help.hellotext.com/analytics-reporting-attribution-overview,https://help.hellotext.com/es/resumen-analitica-reportes-atribucion,200,200,published_original,2ef5a95bcc273807a74dfa4b694e0bba7999e5ac357296d471f1dcb2fd993e4e,f0c22d593c7b523189d619766b4e6dd7913b67da68981dfb8a2380446e1af1a4
analytics-reporting-attribution/campaign-reporting.md,_i18n/en/analytics-reporting-attribution/campaign-reporting.md,_i18n/es/analytics-reporting-attribution/campaign-reporting.md,_analytics-reporting-attribution/campaign-reporting.md,https://help.hellotext.com/campaign-reporting,https://help.hellotext.com/es/reportes-de-campaña,200,200,published_original,f8bba221f11e7eaf6e93bf4677a99bcd49bfd327199fc7916704d1a2c81d8229,73d98d831b4cf4d0e268cf09fe3847fd872c86fbb71db718088a7ff3fc069380
analytics-reporting-attribution/dashboard-guide.md,_i18n/en/analytics-reporting-attribution/dashboard-guide.md,_i18n/es/analytics-reporting-attribution/dashboard-guide.md,_analytics-reporting-attribution/dashboard-guide.md,https://help.hellotext.com/dashboard-guide,https://help.hellotext.com/es/guia-dashboard,200,200,published_original,b5aad25f2bdc33d0a11acb4c99d3f861219e6d173076ced09f28f046448b8a6d,c22ca1802d0a4373c09b91e021b49eaed2dec97506a865cdc74f9854dbe63781
analytics-reporting-attribution/data-completeness-and-reporting-gaps.md,_i18n/en/analytics-reporting-attribution/data-completeness-and-reporting-gaps.md,_i18n/es/analytics-reporting-attribution/data-completeness-and-reporting-gaps.md,_analytics-reporting-attribution/data-completeness-and-reporting-gaps.md,https://help.hellotext.com/data-completeness-and-reporting-gaps,https://help.hellotext.com/es/integridad-datos-diferencias-reportes,200,200,published_original,abf7d7faafc48f7e849809b8af8c321370f2e75b40be3ccc21b4b8fc4e9569d3,c2e19e92afebd7ffa4405b6def193d59fa402ee70f4ea64a3c63f53959684a4a
analytics-reporting-attribution/demand-insights-guide.md,_i18n/en/analytics-reporting-attribution/demand-insights-guide.md,_i18n/es/analytics-reporting-attribution/demand-insights-guide.md,_analytics-reporting-attribution/demand-insights-guide.md,https://help.hellotext.com/demand-insights-guide,https://help.hellotext.com/es/guia-insights-demanda,200,200,published_original,d68e63a098f28a634dd5e695b99239b30b180439b1cc3e0eef576957ff708a84,8d38545bc1376ce9659061ca8d1947dc9027d95539167deec12b82b71ee1051b
analytics-reporting-attribution/performance-report-guide.md,_i18n/en/analytics-reporting-attribution/performance-report-guide.md,_i18n/es/analytics-reporting-attribution/performance-report-guide.md,_analytics-reporting-attribution/performance-report-guide.md,https://help.hellotext.com/performance-report-guide,https://help.hellotext.com/es/guia-reporte-rendimiento,200,200,published_original,d6d09f6249c295478d3c40965430183cf8c6fa0b8e2f4441df31974e29e31d32,c1482eb75de95a886168ccc2aa0ab665a331d8fed87b0a27549a0687b5c17c97
analytics-reporting-attribution/playbook-reporting.md,_i18n/en/analytics-reporting-attribution/playbook-reporting.md,_i18n/es/analytics-reporting-attribution/playbook-reporting.md,_analytics-reporting-attribution/playbook-reporting.md,https://help.hellotext.com/playbook-reporting,https://help.hellotext.com/es/reportes-de-misiones,200,200,published_original,4333b8b463a2e07fe0811e6c5496ffe0aaa2b04653b1a4a0f21180d72a5c2a8c,41ecc18c868200b4ad089bca1d58c101411f3ed51252232176af89110295fad7
analytics-reporting-attribution/revenue-report-guide.md,_i18n/en/analytics-reporting-attribution/revenue-report-guide.md,_i18n/es/analytics-reporting-attribution/revenue-report-guide.md,_analytics-reporting-attribution/revenue-report-guide.md,https://help.hellotext.com/revenue-report-guide,https://help.hellotext.com/es/guia-reporte-ingresos,200,200,published_original,f07149dbe437b26b673d36a1f25b79e329bcf35a548d060b795c8fcaad47d9f1,08f16700c282dec3408b81e75c5a9b70cff43f3a130114878926d5c60e3af56c
analytics-reporting-attribution/sales-attribution.md,_i18n/en/analytics-reporting-attribution/sales-attribution.md,_i18n/es/analytics-reporting-attribution/sales-attribution.md,_analytics-reporting-attribution/sales-attribution.md,https://help.hellotext.com/how-we-attribute-sales,https://help.hellotext.com/es/como-atribuimos-las-ventas,200,200,published_original,6529afdac8392cfc55a3ddc1a7b8e8930484a0b60f9c2b1864c4ddd50196b8d8,8d9bcbd691990637f8470b146c732c90d1168553bdb899d4fbb34f68028a43fa
analytics-reporting-attribution/service-quality-report-guide.md,_i18n/en/analytics-reporting-attribution/service-quality-report-guide.md,_i18n/es/analytics-reporting-attribution/service-quality-report-guide.md,_analytics-reporting-attribution/service-quality-report-guide.md,https://help.hellotext.com/service-quality-report-guide,https://help.hellotext.com/es/guia-reporte-calidad-servicio,200,200,published_original,816047216a38d178a5d15c4331be714c90e1db4de2fdc99c3c56c9683d1bfb2f,798a6bcd5ed78076e72eb37ff79488334cde6f7d39f3270bb327cccbddc07d4c
analytics-reporting-attribution/tracked-links.md,_i18n/en/analytics-reporting-attribution/tracked-links.md,_i18n/es/analytics-reporting-attribution/tracked-links.md,_analytics-reporting-attribution/tracked-links.md,https://help.hellotext.com/tracked-links,https://help.hellotext.com/es/links-con-tracking,200,200,published_original,f6c594879788dfa5586ce3f372d9b80e7d1cc85437f45a5a28a1e44bd9a1c378,12e4a1d7ff25f3fb7a4f1cab6c764fe9855a7bada378638a5f21a1c7dacdfd65
analytics-reporting-attribution/workload-capacity-report-guide.md,_i18n/en/analytics-reporting-attribution/workload-capacity-report-guide.md,_i18n/es/analytics-reporting-attribution/workload-capacity-report-guide.md,_analytics-reporting-attribution/workload-capacity-report-guide.md,https://help.hellotext.com/workload-capacity-report-guide,https://help.hellotext.com/es/guia-reporte-carga-capacidad,200,200,published_original,18978830101a14743a291445864f8e45fc279c83c14b4a6455feea8678d5c722,a94c1e3aa8bbe40daafc4996f290dfedbdec1e6aa98de291af70b40a3f7ef547
audience/audience-overview.md,_i18n/en/audience/audience-overview.md,_i18n/es/audience/audience-overview.md,_audience/audience-overview.md,https://help.hellotext.com/audience-segmentation-overview,https://help.hellotext.com/es/resumen-audiencia-segmentacion,200,200,published_original,dd85de83eee0c83819242fa411352d60403be03631e56c09207c531d140fe60d,13e466c0dd711986a093af2fb08add78632279557ae99d0394f60bbb4340db8a
audience/consent-and-subscriber-status.md,_i18n/en/audience/consent-and-subscriber-status.md,_i18n/es/audience/consent-and-subscriber-status.md,_audience/consent-and-subscriber-status.md,https://help.hellotext.com/who-can-i-message,https://help.hellotext.com/es/a-quien-puedo-escribirle,200,200,published_original,5f2e57aeb705ea9d7821744b2ba457a88f045c91115d07fa046ef932accd0976,de63ce550874b018d2d85b5342e3b359d83f0515f5d5f32aa37de8d5cb07d64e
audience/custom-properties-and-events.md,_i18n/en/audience/custom-properties-and-events.md,_i18n/es/audience/custom-properties-and-events.md,_audience/custom-properties-and-events.md,https://help.hellotext.com/custom-properties-and-events,https://help.hellotext.com/es/propiedades-y-eventos-personalizados,200,200,published_original,9891097540d815d9b02e8019826489e5858ea0386397d90d90dee08b83bdef80,a89a310ec279b7197e48fcb6bd5e8e4228b2c75331f30c7732d40aee94b0052c
audience/customer-profiles.md,_i18n/en/audience/customer-profiles.md,_i18n/es/audience/customer-profiles.md,_audience/customer-profiles.md,https://help.hellotext.com/customer-profiles,https://help.hellotext.com/es/perfiles-de-clientes,200,200,published_original,46629a61966db2835e5f7b35c893ee8c5d3c2bfba0eed43543c5155d614a9f98,01b007a704bcd6a3e5e074f4d3b0309bdc46bd490baf8fa38e53c214e2977bc6
audience/data-privacy-requests.md,_i18n/en/audience/data-privacy-requests.md,_i18n/es/audience/data-privacy-requests.md,_audience/data-privacy-requests.md,https://help.hellotext.com/data-privacy-requests,https://help.hellotext.com/es/solicitudes-privacidad-datos,200,200,published_original,e2962e74b360479b53230bda475547d4c558ae5f30d75eb31d8dd4d22b5385b2,f68a97d7bc7715d3eb63c426bebec9d02b60aedd3e826ab2df6221fdef270af8
audience/exporting-data.md,_i18n/en/audience/exporting-data.md,_i18n/es/audience/exporting-data.md,_audience/exporting-data.md,https://help.hellotext.com/exporting-data,https://help.hellotext.com/es/exportar-datos,200,200,published_original,ff115330151b7732690779e730aa0ab520d41a22ad825f795cf60ce04b238f77,d4de70d994053fb27bec429cb3099f0d296e38efe8e2b71abc611b7b0304158a
audience/import-customer-profiles.md,_i18n/en/audience/import-customer-profiles.md,_i18n/es/audience/import-customer-profiles.md,_audience/import-customer-profiles.md,https://help.hellotext.com/import-customer-profiles,https://help.hellotext.com/es/importa-perfiles-de-cliente,200,200,published_original,8e61b91ab3c4a2b103837f9bb14c108d99e1d4676b7a374e639fce4868aa2604,b48fa68128df8ede33e32c68cd8ec5b9296df008c8a345c0c8c10df30f7005d7
